county_name,"CATTLE, (EXCL COWS) - INVENTORY","CATTLE, CALVES - SALES, MEASURED IN HEAD","CATTLE, COWS - INVENTORY","CATTLE, COWS, BEEF - INVENTORY","CATTLE, COWS, MILK - INVENTORY","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","CATTLE, INCL CALVES - INVENTORY","CATTLE, INCL CALVES - SALES, MEASURED IN HEAD","CATTLE, ON FEED - INVENTORY","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD"
ALAMANCE,7114.0,2542.0,8233.0,6771.0,1462.0,5221.0,690.0,15347.0,7763.0,,
ALEXANDER,9762.0,2447.0,8965.0,7858.0,1107.0,9469.0,,18727.0,11916.0,,
ALLEGHANY,11585.0,1186.0,6796.0,5782.0,1014.0,10003.0,,18381.0,11189.0,,
ANSON,5049.0,898.0,4268.0,,,5130.0,,9317.0,6028.0,,
ASHE,9825.0,2270.0,7529.0,7442.0,87.0,12028.0,,17354.0,14298.0,,
AVERY,698.0,176.0,964.0,955.0,9.0,610.0,,1662.0,786.0,,
BEAUFORT,84.0,80.0,263.0,263.0,,86.0,,347.0,166.0,,
BERTIE,381.0,188.0,344.0,344.0,,99.0,,725.0,287.0,,
BLADEN,1465.0,646.0,2569.0,,,1139.0,,4034.0,1785.0,,
BRUNSWICK,536.0,143.0,834.0,,,392.0,,1370.0,535.0,,
BUNCOMBE,5411.0,2547.0,8353.0,7473.0,880.0,3744.0,,13764.0,6291.0,,
BURKE,1978.0,781.0,2850.0,2788.0,62.0,990.0,,4828.0,1771.0,,
CABARRUS,5905.0,1443.0,7394.0,6747.0,647.0,4914.0,,13299.0,6357.0,,
CALDWELL,2727.0,617.0,3478.0,3473.0,5.0,1459.0,,6205.0,2076.0,,
CAMDEN,96.0,124.0,203.0,203.0,,51.0,,299.0,175.0,,
CARTERET,103.0,53.0,248.0,248.0,,29.0,,351.0,82.0,,
CASWELL,4279.0,1423.0,4785.0,3975.0,810.0,2474.0,,9064.0,3897.0,,
CATAWBA,6110.0,2894.0,8060.0,7400.0,660.0,4525.0,,14170.0,7419.0,,
CHATHAM,15613.0,4611.0,16790.0,16068.0,722.0,9510.0,,32403.0,14121.0,,
CHEROKEE,6239.0,534.0,3342.0,,,6959.0,,9581.0,7493.0,,
CHOWAN,605.0,100.0,242.0,242.0,,160.0,,847.0,260.0,,
CLAY,1101.0,323.0,1229.0,1229.0,,722.0,,2330.0,1045.0,,
CLEVELAND,9728.0,3961.0,11539.0,10824.0,715.0,5927.0,,21267.0,9888.0,,
COLUMBUS,2313.0,1309.0,3056.0,3056.0,,1273.0,,5369.0,2582.0,,
CRAVEN,503.0,143.0,724.0,,,252.0,,1227.0,395.0,,
CUMBERLAND,934.0,600.0,2070.0,,,1374.0,,3004.0,1974.0,,
CURRITUCK,73.0,102.0,140.0,,,6.0,,213.0,108.0,,
DARE,,,,,,23.0,,,23.0,,
DAVIDSON,4987.0,1324.0,7107.0,5814.0,1293.0,2678.0,,12094.0,4002.0,,
DAVIE,4478.0,1408.0,6186.0,5882.0,304.0,2617.0,,10664.0,4025.0,,
DUPLIN,8297.0,3737.0,11863.0,11847.0,16.0,6134.0,,20160.0,9871.0,,
DURHAM,916.0,195.0,834.0,,,506.0,,1750.0,701.0,,
EDGECOMBE,725.0,403.0,1135.0,1135.0,,611.0,,1860.0,1014.0,,
FORSYTH,1186.0,446.0,2478.0,2468.0,10.0,800.0,,3664.0,1246.0,,
FRANKLIN,7614.0,1050.0,5908.0,5878.0,30.0,4695.0,,13522.0,5745.0,,
GASTON,2523.0,1226.0,4088.0,,,1110.0,,6611.0,2336.0,,
GATES,102.0,118.0,305.0,,,212.0,,407.0,330.0,,
GRAHAM,630.0,100.0,870.0,,,476.0,,1500.0,576.0,,
GRANVILLE,3282.0,1287.0,4355.0,,,1963.0,,7637.0,3250.0,,
GREENE,672.0,265.0,899.0,899.0,,310.0,,1571.0,575.0,,
GUILFORD,4664.0,1829.0,5871.0,4674.0,1197.0,2439.0,,10535.0,4268.0,,
HALIFAX,2727.0,762.0,2543.0,,,2065.0,,5270.0,2827.0,,
HARNETT,2372.0,940.0,4125.0,,,1499.0,,6497.0,2439.0,,
HAYWOOD,5022.0,1775.0,6078.0,4791.0,1287.0,3273.0,,11100.0,5048.0,,
HENDERSON,1303.0,340.0,1895.0,,,852.0,,3198.0,1192.0,,
HERTFORD,110.0,16.0,151.0,151.0,,107.0,,261.0,123.0,,
HOKE,498.0,174.0,759.0,759.0,,275.0,,1257.0,449.0,,
HYDE,46.0,75.0,146.0,146.0,,19.0,,192.0,94.0,,
IREDELL,20496.0,6220.0,23845.0,13076.0,10769.0,11695.0,,44341.0,17915.0,,
JACKSON,736.0,211.0,891.0,882.0,9.0,317.0,,1627.0,528.0,,
JOHNSTON,6916.0,2693.0,6465.0,,,3222.0,,13381.0,5915.0,,90.0
JONES,304.0,173.0,526.0,526.0,,172.0,,830.0,345.0,,
LEE,1263.0,579.0,1981.0,1981.0,,604.0,,3244.0,1183.0,,
LENOIR,1659.0,1062.0,2037.0,,,563.0,,3696.0,1625.0,,
LINCOLN,7865.0,2203.0,8070.0,4811.0,3259.0,5410.0,,15935.0,7613.0,,
MACON,1091.0,450.0,2032.0,2023.0,9.0,947.0,,3123.0,1397.0,,
MADISON,2333.0,686.0,3749.0,3674.0,75.0,1362.0,,6082.0,2048.0,,
MARTIN,627.0,186.0,867.0,,,398.0,,1494.0,584.0,,
MCDOWELL,1347.0,351.0,1693.0,1356.0,337.0,527.0,,3040.0,878.0,,
MECKLENBURG,830.0,293.0,1024.0,,,508.0,,1854.0,801.0,,
MITCHELL,599.0,425.0,1016.0,998.0,18.0,398.0,,1615.0,823.0,,
MONTGOMERY,3232.0,709.0,3308.0,3308.0,,2371.0,,6540.0,3080.0,,450.0
MOORE,4783.0,1845.0,6119.0,,,2366.0,,10902.0,4211.0,,
NASH,3229.0,968.0,2970.0,2965.0,5.0,2806.0,,6199.0,3774.0,,
NORTHAMPTON,669.0,370.0,889.0,889.0,,285.0,,1558.0,655.0,,
ONSLOW,637.0,273.0,1426.0,1423.0,3.0,566.0,,2063.0,839.0,,
ORANGE,4872.0,942.0,5658.0,5108.0,550.0,3340.0,,10530.0,4282.0,,
PAMLICO,39.0,58.0,98.0,,,20.0,,137.0,78.0,,
PASQUOTANK,128.0,35.0,209.0,209.0,,53.0,,337.0,88.0,,
PENDER,1278.0,601.0,1588.0,1577.0,11.0,595.0,,2866.0,1196.0,,
PERQUIMANS,241.0,61.0,419.0,419.0,,222.0,,660.0,283.0,,
PERSON,2746.0,1228.0,4259.0,,,2349.0,,7005.0,3577.0,,
PITT,867.0,344.0,1638.0,,,699.0,,2505.0,1043.0,,
POLK,1196.0,593.0,1903.0,1771.0,132.0,513.0,,3099.0,1106.0,,
RANDOLPH,17482.0,5312.0,24189.0,16415.0,7774.0,13931.0,,41671.0,19243.0,,
RICHMOND,1198.0,462.0,1538.0,1535.0,3.0,734.0,,2736.0,1196.0,,
ROBESON,1848.0,992.0,3558.0,3554.0,4.0,1471.0,,5406.0,2463.0,,
ROCKINGHAM,6404.0,1581.0,6024.0,5642.0,382.0,4466.0,,12428.0,6047.0,,
ROWAN,10589.0,2386.0,10115.0,8704.0,1411.0,6798.0,,20704.0,9184.0,,
RUTHERFORD,3207.0,1065.0,4607.0,4589.0,18.0,2413.0,,7814.0,3478.0,150.0,150.0
SAMPSON,8296.0,4603.0,13134.0,,,7051.0,,21430.0,11654.0,,
SCOTLAND,359.0,254.0,532.0,532.0,,209.0,,891.0,463.0,,
STANLY,6091.0,1957.0,8597.0,8226.0,371.0,5789.0,,14688.0,7746.0,,
STOKES,6825.0,1235.0,4902.0,,,9328.0,,11727.0,10563.0,,
SURRY,13771.0,4277.0,11980.0,11834.0,146.0,8778.0,,25751.0,13055.0,,
SWAIN,183.0,62.0,351.0,348.0,3.0,130.0,,534.0,192.0,,
TRANSYLVANIA,600.0,232.0,1029.0,1024.0,5.0,443.0,,1629.0,675.0,,
TYRRELL,80.0,,327.0,327.0,,,,407.0,,,
UNION,8331.0,4158.0,11156.0,11053.0,103.0,6633.0,,19487.0,10791.0,,
