county_name,HOGS - INVENTORY,"HOGS - SALES, MEASURED IN HEAD","HOGS, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD"
ALAMANCE,166.0,272.0,
ALEXANDER,91.0,,
ALLEGHANY,159.0,7.0,
ANSON,56359.0,187390.0,52300.0
ASHE,,53.0,
AVERY,10.0,46.0,
BEAUFORT,35910.0,353064.0,268193.0
BLADEN,713011.0,2933267.0,1948480.0
BRUNSWICK,76368.0,201637.0,201520.0
BUNCOMBE,743.0,697.0,
BURKE,235.0,281.0,
CAMDEN,6.0,,
CARTERET,88.0,,
CASWELL,184.0,148.0,
CATAWBA,301.0,241.0,
CHEROKEE,142.0,100.0,
CLAY,12.0,23.0,
CLEVELAND,144.0,194.0,
COLUMBUS,230315.0,904428.0,878997.0
CRAVEN,65030.0,329700.0,315300.0
CUMBERLAND,103041.0,751001.0,415068.0
CURRITUCK,,58.0,
DAVIDSON,239.0,517.0,
DAVIE,58.0,15.0,
DUPLIN,1957364.0,6479453.0,5380492.0
DURHAM,193.0,47.0,
EDGECOMBE,99598.0,577985.0,80720.0
FORSYTH,151.0,36.0,
FRANKLIN,25486.0,96717.0,94000.0
GASTON,154.0,232.0,
GATES,24195.0,158331.0,157240.0
GRAHAM,36.0,33.0,
GRANVILLE,981.0,,
GREENE,329337.0,1074937.0,833882.0
GUILFORD,4198.0,17013.0,
HALIFAX,49445.0,238982.0,
HARNETT,82592.0,556072.0,86760.0
HAYWOOD,504.0,815.0,
HENDERSON,73.0,139.0,
HOKE,83331.0,465628.0,260621.0
IREDELL,97.0,285.0,
JOHNSTON,194782.0,968647.0,552149.0
JONES,306594.0,1858990.0,681850.0
LENOIR,286573.0,1457671.0,1237384.0
LINCOLN,815.0,435.0,
MACON,123.0,54.0,
MADISON,215.0,275.0,
MCDOWELL,121.0,79.0,
MITCHELL,77.0,164.0,
NASH,54804.0,311882.0,166857.0
NORTHAMPTON,108889.0,274170.0,
ONSLOW,187912.0,644157.0,642782.0
PASQUOTANK,810.0,2004.0,
PENDER,269727.0,1370419.0,1220283.0
PERSON,3260.0,7285.0,
PITT,242212.0,941503.0,900051.0
POLK,154.0,54.0,
RANDOLPH,20303.0,44645.0,44540.0
RICHMOND,61471.0,321748.0,187139.0
ROBESON,330146.0,1119700.0,495454.0
RUTHERFORD,361.0,1114.0,
SAMPSON,1884585.0,6976232.0,4703185.0
SWAIN,28.0,,
TRANSYLVANIA,45.0,31.0,
VANCE,13.0,,
WAKE,695.0,2168.0,
WARREN,36217.0,220670.0,
WATAUGA,66.0,54.0,
WAYNE,548561.0,2041069.0,1206966.0
WILKES,55.0,68.0,
YANCEY,277.0,103.0,
