County,EWG_counts,DEQ_counts,"CHICKENS, BROILERS - INVENTORY","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","CHICKENS, BROILERS, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","CHICKENS, LAYERS - INVENTORY","CHICKENS, LAYERS - SALES, MEASURED IN HEAD","CHICKENS, LAYERS, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","CHICKENS, PULLETS, REPLACEMENT - INVENTORY","CHICKENS, PULLETS, REPLACEMENT - SALES, MEASURED IN HEAD","CHICKENS, PULLETS, REPLACEMENT, PRODUCTION CONTRACT - PRODUCTION, MEASURED IN HEAD","CHICKENS, ROOSTERS - INVENTORY","CHICKENS, ROOSTERS - SALES, MEASURED IN HEAD",TotInventory
ALAMANCE,929430.0,,252512.0,1229500.0,1227500.0,370579.0,368034.0,367944.0,205072.0,450000.0,450000.0,,,828163.0
ALEXANDER,3694536.0,,4460440.0,25068105.0,25068105.0,756772.0,814788.0,760465.0,1123305.0,2172984.0,2172930.0,89449.0,99646.0,6429966.0
ALLEGHANY,14239.0,,,3005.0,,800.0,145.0,,341.0,300.0,,9.0,3.0,1150.0
ANSON,4284486.0,0.0,9028434.0,49637971.0,49637971.0,305080.0,294900.0,294900.0,86005.0,172000.0,172000.0,45060.0,54000.0,9464579.0
ASHE,28478.0,,,,,1333.0,504.0,,163.0,,,17.0,265.0,1513.0
AVERY,,,,,,666.0,755.0,,30.0,,,,,696.0
BEAUFORT,,,,,,665.0,72.0,,,,,,,665.0
BERTIE,4376504.0,,5863743.0,38149383.0,38149383.0,,,,,,,,,5863743.0
BLADEN,2347863.0,,3715465.0,21605819.0,21605729.0,,,,92.0,,,,,3715557.0
BRUNSWICK,,,,,,1758.0,551.0,,83.0,,,16.0,,1857.0
BUNCOMBE,10188.0,,2944.0,4666.0,,15863.0,15794.0,,1256.0,934.0,,293.0,252.0,20356.0
BURKE,822360.0,,2030658.0,9822200.0,9820000.0,58161.0,,,,,,,7000.0,2088819.0
CABARRUS,865203.0,,758015.0,3238325.0,3233604.0,,,,,,,,,758015.0
CALDWELL,207940.0,,1390740.0,7118099.0,7118000.0,1134.0,39.0,,276112.0,552040.0,552000.0,24.0,,1668010.0
CAMDEN,,,,,,848.0,,,,,,,,848.0
CARTERET,,,1805.0,714.0,,1079.0,54.0,,175.0,,,12.0,195.0,3071.0
CASWELL,243054.0,,,,,245815.0,221362.0,221200.0,65.0,,,29376.0,26294.0,275256.0
CATAWBA,1865990.0,,1770054.0,9766530.0,9764940.0,69831.0,65928.0,65150.0,499.0,120.0,,8071.0,7830.0,1848455.0
CHATHAM,3876683.0,,4068523.0,18531654.0,18359524.0,252773.0,194409.0,190600.0,329329.0,714625.0,713000.0,20547.0,19220.0,4671172.0
CHEROKEE,14239.0,,,,,,,,,,,20.0,24.0,20.0
CHOWAN,118340.0,,,1260000.0,1260000.0,,,,,,,,,0.0
CLAY,,,,,,246.0,,,55.0,,,,,301.0
CLEVELAND,3670173.0,,3995709.0,20671816.0,20671757.0,92972.0,83934.0,83520.0,120218.0,240000.0,240000.0,10946.0,10073.0,4219845.0
COLUMBUS,675220.0,,440305.0,2760115.0,2760000.0,1606.0,665.0,,259.0,,,390.0,,442560.0
CRAVEN,,,,,,887.0,,,246.0,,,,,1133.0
CUMBERLAND,1246959.0,,468985.0,2020170.0,2019600.0,1703.0,405.0,,274.0,233.0,,95.0,63.0,471057.0
CURRITUCK,,,,,,307.0,,,18.0,,,,,325.0
DAVIDSON,1353200.0,,783693.0,4155014.0,4155000.0,118545.0,114325.0,112943.0,,,,13227.0,11962.0,915465.0
DAVIE,205352.0,,145.0,,,138563.0,108650.0,108538.0,180400.0,441000.0,441000.0,13289.0,12424.0,332397.0
DUPLIN,1728384.0,,15943541.0,78902390.0,69132960.0,424677.0,409600.0,248000.0,188157.0,513257.0,390000.0,36388.0,39767.0,16592763.0
